qid,turn,monoT5 - avg,ConvRerank - avg
31_1,1,0.0,0.0
31_2,2,0.0,0.0
31_3,3,0.5893999999999999,-0.2346
31_4,4,0.46930000000000005,-0.5307
31_5,5,0.21489999999999998,0.0
31_6,6,0.08530000000000004,0.08530000000000004
31_7,7,0.5307,0.5307
31_8,8,0.08539999999999992,0.2882999999999999
31_9,9,0.3558,0.1707
32_1,1,-0.17689999999999995,-0.07819999999999994
32_10,10,-0.5307,-0.5307
32_11,11,0.23459999999999998,-0.4693
32_2,2,0.28070000000000006,0.19130000000000003
32_3,3,-0.2960999999999999,0.46930000000000005
32_4,4,0.0,0.0
32_5,5,0.32409999999999994,0.352
32_6,6,0.0,0.0
32_7,7,-0.8827,0.058599999999999985
32_8,8,0.0,-0.5701
32_9,9,-0.5307,-0.5307
33_1,1,0.0,-0.28190000000000004
33_2,2,-0.16059999999999997,-0.17599999999999993
33_3,3,-0.14799999999999996,-0.14799999999999996
33_4,4,0.0,0.0
33_5,5,-0.1573,-0.1573
33_6,6,0.0,-0.14090000000000003
33_7,7,0.03479999999999994,0.13290000000000002
33_8,8,-0.0701,-0.1199
34_1,1,0.11730000000000007,-0.08660000000000001
34_2,2,-0.1246,0.03269999999999999
34_3,3,0.4134,0.19129999999999997
34_4,4,-0.352,0.01539999999999997
34_5,5,-0.25000000000000006,0.10189999999999999
34_6,6,0.324,0.5153000000000001
34_7,7,0.6395,0.25220000000000004
34_8,8,0.6481,0.0
37_1,1,0.38270000000000004,0.26539999999999997
37_2,2,0.04899999999999999,0.23299999999999998
37_3,3,0.07610000000000006,-0.2224
37_4,4,0.05860000000000004,0.4693
37_5,5,-0.17879999999999996,-0.002799999999999969
37_6,6,0.5935,0.4852
37_7,7,0.17069999999999996,0.17069999999999996
37_8,8,0.2398,0.5
40_1,1,-0.45670000000000005,-0.35200000000000004
40_2,2,0.0,0.3673
40_3,3,0.3116,0.2819
40_4,4,0.5312,0.3739
40_5,5,0.0,0.0853
40_6,6,0.22200000000000003,-0.176
40_7,7,-0.17590000000000006,0.0
40_8,8,-0.0348,0.09809999999999999
49_1,1,-0.2706,-0.0822
49_2,2,-0.25229999999999997,0.4199
49_3,3,-0.18689999999999996,-0.1543
49_4,4,-0.045999999999999985,0.11120000000000002
49_5,5,0.03070000000000006,0.08930000000000005
49_6,6,-0.4751000000000001,0.2399
49_7,7,0.5536000000000001,0.6384000000000001
49_8,8,-0.017699999999999938,0.049900000000000055
50_1,1,0.0615,-0.08660000000000001
50_2,2,0.11730000000000007,0.10200000000000009
50_3,3,-0.10199999999999998,-0.058699999999999974
50_4,4,-0.2346,0.6174
50_5,5,-0.46930000000000005,-0.058699999999999974
50_6,6,0.0,0.0
50_7,7,0.058699999999999974,0.058699999999999974
50_8,8,0.25,0.2807
54_1,1,0.27559999999999996,0.3538
54_2,2,0.459,0.459
54_3,3,0.0,0.1529999999999999
54_4,4,-0.4163,-0.4163
54_5,5,0.4299,0.4299
54_6,6,-0.1597,-0.1597
54_7,7,0.0,0.0
54_8,8,0.14800000000000002,0.14800000000000002
54_9,9,0.0,0.0
56_1,1,0.2779,0.35190000000000005
56_2,2,0.24930000000000002,0.1573
56_3,3,-0.09499999999999999,-0.2196
56_4,4,0.19140000000000001,0.5
56_5,5,0.1173,0.1173
56_6,6,-0.398,0.058699999999999974
56_7,7,0.11729999999999996,0.2933
56_8,8,0.824,0.7654
58_1,1,0.0,0.0
58_2,2,-0.01529999999999998,0.0
58_3,3,-0.07399999999999995,0.2933
58_4,4,-0.23460000000000003,-0.17590000000000006
58_5,5,-0.043300000000000005,0.0
58_6,6,0.2961,0.0
58_7,7,-0.058699999999999974,0.0
58_8,8,-0.4413,-0.10199999999999998
59_1,1,-0.46929999999999994,-0.75
59_2,2,0.0,-0.23460000000000003
59_3,3,-0.20390000000000003,0.17879999999999996
59_4,4,-0.2961,-0.2961
59_5,5,0.0,0.0
59_6,6,0.0,0.0
59_7,7,0.17870000000000003,0.2807
59_8,8,0.0,0.1173
61_1,1,-0.06769999999999998,0.0676
61_2,2,-0.3414,0.4026
61_3,3,-0.11740000000000003,0.11729999999999996
61_4,4,0.1199,-0.0701
61_5,5,0.12,0.09510000000000002
61_6,6,0.5154,0.0
61_7,7,0.1769,0.3333
61_8,8,-0.5307,-1.0
67_1,1,-0.07399999999999995,-0.07399999999999995
67_10,10,0.29610000000000003,0.29610000000000003
67_11,11,0.0,0.17320000000000002
67_2,2,0.1914,0.2933
67_3,3,-0.19130000000000003,-0.03070000000000006
67_4,4,-0.352,-0.4693
67_5,5,0.574,0.352
67_6,6,-0.2654,0.058599999999999985
67_7,7,0.1246,0.0
67_8,8,0.7654,0.2961
67_9,9,-0.23470000000000002,0.0
68_1,1,-0.11730000000000007,0.043300000000000005
68_10,10,-0.14800000000000002,0.20399999999999996
68_11,11,0.0,-0.176
68_2,2,0.2982,0.045999999999999985
68_3,3,-0.29610000000000003,-0.23460000000000003
68_4,4,-0.07409999999999994,0.07400000000000007
68_5,5,-0.19140000000000001,0.0
68_6,6,-0.676,-0.35200000000000004
68_7,7,-0.46930000000000005,-0.11729999999999996
68_8,8,-0.06640000000000001,-0.26580000000000004
68_9,9,0.058599999999999985,0.11729999999999996
69_1,1,-0.06149999999999997,0.17320000000000002
69_10,10,0.4693,0.4693
69_2,2,0.0,0.0
69_3,3,0.0,0.5866
69_4,4,0.11730000000000002,0.11730000000000002
69_5,5,0.2346,0.6173
69_6,6,-0.0615,0.23460000000000003
69_7,7,0.4693,0.2961
69_8,8,0.2961,0.0587
69_9,9,1.0,1.0
75_1,1,0.0676,0.2029
75_2,2,0.3366,0.5126
75_3,3,0.27890000000000004,0.27890000000000004
75_4,4,-0.2851,0.0
75_5,5,0.06230000000000002,0.06230000000000002
75_6,6,0.08479999999999999,0.14739999999999998
75_8,8,0.0,0.0
77_1,1,0.06769999999999998,0.0
77_2,2,0.0,0.0
77_3,3,-0.13529999999999998,-0.13529999999999998
77_4,4,0.8304,0.0
77_5,5,0.27680000000000005,0.10710000000000008
77_6,6,-0.049899999999999944,0.01770000000000005
77_7,7,-0.3612,-0.1597
77_8,8,0.37360000000000004,0.23840000000000006
78_1,1,-0.3902,-0.09199999999999997
78_2,2,0.10469999999999996,0.10469999999999996
78_3,3,-0.043300000000000005,0.3087
78_4,4,0.0,0.23829999999999998
78_5,5,0.0,0.0
78_6,6,-0.29610000000000003,0.0
78_7,7,-0.13529999999999998,0.17070000000000002
78_8,8,-0.5,-1.0
79_1,1,0.2346,0.176
79_2,2,-0.17600000000000005,-0.23460000000000003
79_3,3,0.028000000000000025,-0.5893999999999999
79_4,4,0.058599999999999985,-0.058699999999999974
79_5,5,-0.25,-0.2067
79_6,6,0.20399999999999996,0.14529999999999998
79_7,7,0.2493,0.3442
79_8,8,0.08939999999999992,-0.058700000000000085
79_9,9,0.14809999999999998,-0.08660000000000001
