qid,turn,monoT5 - wtl,ConvRerank - wtl
100_1,1,0,0
100_2,2,1,1
100_3,3,1,1
100_4,4,0,0
100_5,5,0,0
100_6,6,1,1
100_7,7,1,1
100_8,8,1,0
101_1,1,1,1
101_10,10,1,0
101_2,2,1,1
101_3,3,1,1
101_4,4,0,0
101_5,5,0,1
101_6,6,1,1
101_7,7,1,1
101_8,8,1,1
101_9,9,0,0
102_1,1,0,0
102_2,2,1,1
102_3,3,1,1
102_4,4,1,1
102_5,5,1,1
102_6,6,1,1
102_7,7,1,1
102_8,8,1,1
102_9,9,1,1
103_1,1,1,1
103_10,10,0,0
103_2,2,1,1
103_3,3,0,0
103_4,4,1,1
103_5,5,1,1
103_6,6,1,1
103_8,8,0,0
103_9,9,0,0
104_1,1,1,1
104_10,10,1,1
104_12,12,1,1
104_13,13,1,1
104_3,3,1,1
104_4,4,0,0
104_6,6,1,1
104_7,7,0,0
104_8,8,0,0
104_9,9,1,0
105_1,1,1,1
105_2,2,1,1
105_3,3,1,1
105_4,4,0,0
105_5,5,1,1
105_6,6,0,1
105_7,7,1,1
105_8,8,1,1
105_9,9,1,1
81_1,1,0,1
81_2,2,0,0
81_3,3,1,1
81_4,4,1,1
81_5,5,1,1
81_6,6,0,1
81_7,7,1,1
81_8,8,1,1
82_1,1,1,1
82_10,10,1,1
82_2,2,1,1
82_3,3,1,1
82_4,4,1,1
82_5,5,1,1
82_6,6,1,1
82_7,7,1,1
82_8,8,1,1
82_9,9,1,1
83_1,1,1,1
83_2,2,1,1
83_3,3,1,1
83_4,4,1,1
83_5,5,1,1
83_6,6,1,1
83_7,7,1,1
83_8,8,1,1
84_1,1,1,1
84_2,2,1,1
84_3,3,1,1
84_4,4,1,1
84_5,5,1,1
84_6,6,1,1
85_1,1,1,1
85_2,2,0,0
85_3,3,1,1
85_4,4,1,1
85_5,5,1,1
85_6,6,1,1
85_7,7,1,1
85_8,8,1,1
85_9,9,1,1
86_1,1,0,1
86_2,2,1,1
86_3,3,1,1
86_4,4,1,1
86_5,5,0,0
86_6,6,1,1
86_7,7,0,0
87_1,1,1,1
87_2,2,1,1
87_3,3,1,1
87_4,4,0,1
87_5,5,0,0
87_7,7,1,1
87_8,8,1,1
87_9,9,0,1
88_1,1,1,1
88_10,10,1,1
88_2,2,1,1
88_3,3,1,1
88_4,4,1,1
88_5,5,1,1
88_6,6,1,0
88_7,7,0,0
88_8,8,0,0
88_9,9,1,1
89_1,1,1,1
89_10,10,0,0
89_11,11,1,1
89_2,2,0,0
89_3,3,0,0
89_4,4,0,0
89_5,5,0,1
89_6,6,1,1
89_7,7,1,1
89_8,8,1,1
89_9,9,1,1
90_1,1,1,1
90_2,2,0,0
90_3,3,0,0
90_4,4,0,0
90_5,5,1,1
90_6,6,1,1
90_7,7,1,1
90_8,8,0,0
91_1,1,0,1
91_2,2,0,0
91_3,3,1,1
91_4,4,1,1
91_5,5,1,1
91_6,6,1,1
91_7,7,0,1
91_8,8,0,0
92_1,1,1,1
92_2,2,1,1
92_3,3,1,1
92_4,4,1,1
92_5,5,1,1
92_6,6,1,1
92_7,7,0,0
93_1,1,1,1
93_2,2,1,1
93_3,3,0,0
93_4,4,1,1
93_5,5,1,1
93_6,6,0,0
94_1,1,0,0
94_2,2,1,1
94_3,3,1,1
94_4,4,1,1
94_5,5,1,1
94_6,6,1,1
94_7,7,1,1
94_8,8,1,1
95_1,1,1,1
95_2,2,1,1
95_3,3,1,1
95_4,4,1,1
95_5,5,1,1
95_6,6,1,1
95_7,7,1,1
95_8,8,1,1
96_1,1,1,1
96_3,3,1,1
96_4,4,1,1
96_5,5,0,1
96_6,6,1,1
96_7,7,1,0
96_8,8,1,1
97_1,1,1,1
97_2,2,1,1
97_3,3,0,0
97_4,4,0,0
97_5,5,0,0
97_6,6,0,0
97_7,7,0,0
97_8,8,0,0
98_1,1,1,1
98_2,2,1,1
98_3,3,0,1
98_4,4,1,1
98_5,5,1,1
98_6,6,1,1
98_7,7,0,0
98_8,8,0,0
99_1,1,1,0
99_2,2,1,1
99_3,3,1,1
99_4,4,1,0
99_5,5,1,1
99_6,6,1,1
99_7,7,0,0
99_8,8,0,1
