Run, R@100, nDCG@3, nDCG@5, nDCG@500,nDCG@1000
eval.cqe.conv.rerank.ablation_from10k.trec,0.4372,0.3466,0.3410,0.3399,0.4670
eval.cqe.conv.rerank.ablation_singleview0.trec,0.4261,0.3532,0.3339,0.3353,0.4626
eval.cqe.conv.rerank.ablation_singleview1.trec,0.4515,0.3643,0.3521,0.3527,0.4740
eval.cqe.conv.rerank.trec,0.4376,0.3769,0.3587,0.3560,0.4757
eval.cqe.rerank.trec,0.4537,0.3588,0.3462,0.3461,0.4691
eval.cqe.trec,0.4130,0.3416,0.3288,0.3208,0.4532
eval.manual.dpr.trec,0.5780,0.4672,0.4570,0.4557,0.5913
eval.t5-cqe.trec,0.4676,0.3676,0.3506,0.3540,0.4954
eval.t5-dpr.conv.rerank.trec,0.4331,0.3813,0.3687,0.3580,0.4744
eval.t5-dpr.rerank.trec,0.4647,0.3486,0.3392,0.3477,0.4651
eval.t5-dpr.trec,0.4277,0.3381,0.3271,0.3272,0.4520
