Run, R@100, R@1000, nDCG@3, nDCG@5, nDCG@500,nDCG@1000
eval.cqe.conv.rerank.ablation_from10k.trec,0.4372,0.7000,0.3466,0.3410,0.4550,0.4670
eval.cqe.conv.rerank.ablation_singleview0.trec,0.4261,0.7000,0.3532,0.3339,0.4449,0.4626
eval.cqe.conv.rerank.ablation_singleview1.trec,0.4515,0.7000,0.3643,0.3521,0.4604,0.4740
eval.cqe.conv.rerank.trec,0.4404,0.7000,0.3774,0.3600,0.4586,0.4753
eval.cqe.rerank.trec,0.4537,0.7000,0.3588,0.3462,0.4557,0.4691
eval.cqe.trec,0.4130,0.7000,0.3416,0.3288,0.4335,0.4532
eval.manual.dpr.trec,0.5780,0.8445,0.4672,0.4570,0.5745,0.5913
eval.t5-cqe.conv.rerank.trec,0.4598,0.7660,0.3876,0.3728,0.4873,0.5065
eval.t5-cqe.rerank.trec,0.4743,0.7660,0.3568,0.3470,0.4760,0.4944
eval.t5-cqe.trec,0.4676,0.7660,0.3676,0.3506,0.4752,0.4954
eval.t5-dpr.conv.rerank.trec,0.4331,0.6834,0.3813,0.3687,0.4589,0.4744
eval.t5-dpr.rerank.trec,0.4647,0.6834,0.3486,0.3392,0.4549,0.4651
eval.t5-dpr.trec,0.4277,0.6834,0.3381,0.3271,0.4349,0.4520
