Run, nDCG@3, nDCG@5, nDCG@10, nDCG@100
eval.cqe-hybrid.conv.rerank.trec,0.5837,0.5689,0.5501,0.5344
eval.cqe-hybrid.rerank.trec,0.5555,0.5581,0.5462,0.5308
eval.cqe-hybrid.trec,0.4978,0.4830,0.4781,0.4943
eval.cqe.conv.rerank.3B.trec,0.5934,0.5840,0.5640,0.5010
eval.cqe.conv.rerank.large.trec,0.5811,0.5742,0.5528,0.4932
eval.cqe.conv.rerank.reverseview.trec,0.5193,0.5167,0.4993,0.4738
eval.cqe.conv.rerank.singleview0.trec,0.5165,0.5059,0.4858,0.4669
eval.cqe.conv.rerank.singleview1.trec,0.4946,0.4902,0.4804,0.4644
eval.cqe.conv.rerank.t10.trec,0.5140,0.5097,0.4987,0.4708
eval.cqe.conv.rerank.t100.trec,0.5282,0.5296,0.5152,0.4786
eval.cqe.conv.rerank.t20.trec,0.5331,0.5227,0.5029,0.4735
eval.cqe.conv.rerank.t30.trec,0.5432,0.5370,0.5129,0.4768
eval.cqe.conv.rerank.t40.trec,0.5634,0.5530,0.5317,0.4874
eval.cqe.conv.rerank.t50.trec,0.5417,0.5386,0.5176,0.4808
eval.cqe.conv.rerank.trec,0.5533,0.5410,0.5171,0.5258
eval.cqe.rerank.3B.trec,0.5650,0.5571,0.5337,0.4874
eval.cqe.rerank.large.trec,0.5563,0.5454,0.5234,0.4837
eval.cqe.rerank.trec,0.5487,0.5387,0.5280,0.4840
eval.cqe.trec,0.4924,0.4628,0.4333,0.4467
eval.cqe.zs.rerank.trec,0.4480,0.4481,0.4402,0.4475
eval.hqe.conv.rerank.trec,0.5580,0.5411,0.5167,0.5108
eval.hqe.rerank.trec,0.5525,0.5494,0.5307,0.5187
eval.hqe.trec,0.2606,0.2571,0.2564,0.3081
eval.manual.dpr.conv.rerank.trec,0.6106,0.6040,0.5760,0.5541
eval.manual.dpr.rerank.trec,0.5833,0.5805,0.5601,0.5451
eval.manual.dpr.trec,0.5572,0.5326,0.5145,0.5236
Run, Recall@100
hqe,0.3648
cqe,0.4483
cqe-hybrid,0.5189
manual.dpr,0.5343
